Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2,2,0,207,41,77095,0,1,14,158.368,7,0.2,13.8572
3,1,0,266,3,90036,3,1,2,20.1,3,0.0,6.633
3,1,0,266,3,90036,3,2,13,73.584,2,0.2,8.2782
3,1,0,266,3,90036,3,1,12,6.48,1,0.0,3.1104
2,0,0,300,21,55407,0,1,12,12.96,2,0.0,6.2208
2,0,0,300,21,55407,0,0,9,53.34,3,0.0,16.5354
2,0,0,300,21,55407,0,1,3,32.96,2,0.0,16.1504
3,2,0,389,35,97206,3,1,3,5.682,1,0.7,-3.788
2,2,0,329,30,10009,1,0,9,96.53,7,0.0,40.5426
0,0,0,438,3,94122,3,1,3,51.312,3,0.2,17.9592
3,1,0,427,21,55106,0,1,1,77.88,6,0.0,22.5852
3,2,0,80,11,60610,0,1,12,64.624,7,0.2,22.6184
3,2,0,80,11,60610,0,2,0,95.976,3,0.2,-10.7973
3,2,0,80,11,60610,0,1,3,1.788,3,0.8,-3.0396
2,0,0,410,21,55901,0,1,12,23.92,4,0.0,11.7208
3,0,0,24,4,80013,3,2,0,238.896,6,0.2,-26.8758
3,0,0,24,4,80013,3,0,9,102.36,3,0.2,-3.8385
3,0,0,24,4,80013,3,1,3,36.882,3,0.7,-25.8174
3,0,0,74,31,28205,2,2,0,74.112,8,0.2,17.6016
3,0,0,74,31,28205,2,2,13,27.992,1,0.2,2.0994
3,0,0,74,31,28205,2,1,2,3.304,1,0.2,1.0738
3,2,0,352,11,60462,0,2,0,339.96,5,0.2,67.992
3,1,0,329,30,10035,1,0,9,41.96,2,0.0,10.9096
3,0,0,494,13,50322,0,1,2,75.96,2,0.0,22.788
3,0,0,494,13,50322,0,1,3,27.24,6,0.0,13.3476
2,0,0,94,33,43229,1,1,8,40.096,14,0.2,14.5348
2,0,0,94,33,43229,1,1,7,4.72,2,0.2,1.652
2,0,0,94,33,43229,1,1,12,23.976,3,0.2,7.4925
2,0,0,94,33,43229,1,1,7,130.464,6,0.2,44.0316
3,0,0,452,45,98103,3,0,16,787.53,3,0.0,165.3813
3,1,0,51,40,37620,2,1,3,157.794,1,0.7,-115.7156
0,0,0,521,6,19805,1,0,9,47.04,3,0.0,18.3456
0,0,0,521,6,19805,1,1,3,30.84,4,0.0,13.878
0,0,0,521,6,19805,1,1,14,226.56,6,0.0,63.4368
0,0,0,521,6,19805,1,1,7,115.02,9,0.0,51.759
0,0,0,521,6,19805,1,2,13,68.04,7,0.0,19.7316
2,2,0,207,41,77041,0,0,5,600.558,3,0.3,-8.5794
3,0,0,41,11,61701,0,0,16,617.7,6,0.5,-407.682
3,0,0,375,1,85023,3,1,3,2.388,2,0.7,-1.8308
3,0,0,375,1,85023,3,1,14,243.992,7,0.2,30.499
2,2,0,266,3,90004,3,0,5,81.424,2,0.2,-9.1602
2,2,0,266,3,90004,3,0,9,238.56,3,0.0,26.2416
0,1,0,94,33,43229,1,2,13,59.97,5,0.4,-11.994
0,1,0,94,33,43229,1,1,12,78.304,2,0.2,29.364
0,1,0,94,33,43229,1,1,8,21.456,9,0.2,6.9732
3,0,0,418,3,95661,3,1,12,20.04,3,0.0,9.6192
3,0,0,418,3,95661,3,1,12,35.44,1,0.0,16.6568
3,0,0,418,3,95661,3,1,2,11.52,4,0.0,3.456
3,0,0,418,3,95661,3,1,8,4.02,2,0.0,1.9698
3,0,0,418,3,95661,3,1,3,76.176,3,0.2,26.6616
3,0,0,418,3,95661,3,1,15,65.88,6,0.0,18.4464
3,0,0,418,3,95661,3,0,9,43.12,14,0.0,20.6976
2,1,0,374,36,19140,1,0,9,82.8,2,0.2,10.35
3,1,0,438,3,94122,3,1,2,8.82,3,0.0,2.3814
3,1,0,438,3,94122,3,1,7,10.86,3,0.0,5.1042
3,1,0,438,3,94122,3,1,12,143.7,3,0.0,68.976
3,0,0,210,23,64055,0,1,1,839.43,3,0.0,218.2518
3,0,0,364,3,91104,3,1,14,671.93,7,0.0,20.1579
3,2,0,330,33,43055,1,0,9,93.888,4,0.2,12.9096
3,1,0,156,47,53132,0,2,13,384.45,11,0.0,103.8015
3,1,0,156,47,53132,0,2,13,149.97,3,0.0,5.9988
3,1,0,156,47,53132,0,0,5,1951.84,8,0.0,585.552
3,1,0,156,47,53132,0,1,3,171.55,5,0.0,80.6285
0,2,0,451,1,85254,3,1,1,157.92,5,0.2,17.766
0,2,0,451,1,85254,3,2,13,203.184,2,0.2,15.2388
0,1,0,440,3,95123,3,1,12,58.38,7,0.0,26.271
0,1,0,440,3,95123,3,1,12,105.52,4,0.0,48.5392
0,1,0,440,3,95123,3,1,14,80.88,6,0.0,21.0288
3,2,0,452,45,98105,3,1,2,6.63,3,0.0,1.7901
2,0,0,452,45,98115,3,0,5,457.568,2,0.2,51.4764
3,0,0,134,34,73034,0,1,10,14.62,2,0.0,6.8714
3,0,0,134,34,73034,0,2,13,944.93,7,0.0,236.2325
0,0,0,266,3,90045,3,1,12,5.98,1,0.0,2.691
2,0,0,374,36,19134,1,2,0,54.384,2,0.2,1.3596
3,0,0,65,29,88220,3,1,7,28.4,5,0.0,13.348
3,0,0,452,45,98115,3,1,3,27.68,2,0.2,9.688
3,0,0,434,41,78207,0,1,2,9.936,3,0.2,2.7324
3,0,0,434,41,78207,0,2,11,8159.952,8,0.4,-1359.992
3,0,0,434,41,78207,0,1,14,275.928,3,0.2,-58.6347
3,0,0,434,41,78207,0,0,5,1740.06,9,0.3,-24.858
3,0,0,434,41,78207,0,1,2,32.064,6,0.2,6.8136
3,0,0,434,41,78207,0,1,1,177.98,5,0.8,-453.849
3,0,0,434,41,78207,0,2,13,143.976,3,0.2,8.9985
3,0,0,266,3,90004,3,1,12,20.94,3,0.0,9.8418
3,0,0,266,3,90004,3,1,12,110.96,2,0.0,53.2608
3,0,0,266,3,90004,3,0,5,340.144,7,0.2,21.259
3,1,0,80,11,60623,0,1,1,52.448,2,0.8,-131.12
3,1,0,80,11,60623,0,1,10,20.16,4,0.2,6.552
2,0,0,207,41,77036,0,1,1,97.264,4,0.8,-243.16
2,0,0,330,33,43055,1,0,5,396.802,7,0.3,-11.3372
2,0,0,330,33,43055,1,1,15,15.88,5,0.2,-3.7715
3,2,0,329,30,10009,1,1,2,3.28,1,0.0,1.4104
2,1,0,116,11,62521,0,1,14,24.816,2,0.2,1.8612
2,1,0,116,11,62521,0,2,0,408.744,7,0.2,76.6395
2,2,0,308,16,71203,2,2,13,503.96,4,0.0,131.0296
2,2,0,308,16,71203,2,2,13,149.95,5,0.0,41.986
2,2,0,308,16,71203,2,2,0,29.0,2,0.0,7.25
3,0,0,147,5,6824,1,1,3,7.16,2,0.0,3.4368
3,2,0,266,3,90032,3,2,0,176.8,8,0.0,22.984
3,1,0,172,41,75051,0,1,14,37.224,3,0.2,3.7224
3,1,0,172,41,75051,0,1,12,20.016,3,0.2,6.255
0,2,0,329,30,10035,1,0,4,899.136,4,0.2,112.392
0,2,0,329,30,10035,1,2,13,71.76,6,0.0,20.0928
0,2,0,329,30,10035,1,1,12,51.84,8,0.0,24.8832
0,2,0,329,30,10035,1,0,4,626.352,3,0.2,46.9764
0,2,0,329,30,10035,1,1,2,19.9,5,0.0,6.567
3,1,0,399,3,92374,3,1,7,14.28,7,0.0,6.7116
3,0,0,187,33,45011,1,1,2,7.408,2,0.2,1.2038
3,0,0,187,33,45011,1,1,2,6.048,3,0.2,1.5876
3,2,0,515,28,7090,1,1,14,46.26,3,0.0,12.0276
3,1,0,374,36,19120,1,1,3,2.946,2,0.7,-2.2586
3,1,0,374,36,19120,1,1,12,16.056,3,0.2,5.8203
3,0,0,2,33,44312,1,1,12,21.744,3,0.2,6.795
0,0,0,120,4,80219,3,0,16,218.75,2,0.5,-161.875
0,0,0,120,4,80219,3,1,1,2.6,1,0.2,0.2925
2,0,0,109,41,75220,0,1,1,66.284,2,0.8,-178.9668
3,1,0,156,40,37064,2,0,9,35.168,7,0.2,9.6712
3,0,0,519,3,90604,3,2,13,444.768,4,0.2,44.4768
3,0,0,423,20,48601,0,1,14,83.92,4,0.0,5.8744
3,0,0,423,20,48601,0,2,13,131.98,2,0.0,35.6346
3,0,0,423,20,48601,0,1,3,15.92,4,0.0,7.4824
3,0,0,423,20,48601,0,1,8,52.29,9,0.0,16.2099
3,0,0,423,20,48601,0,1,14,91.99,1,0.0,3.6796
2,1,0,109,41,75220,0,2,0,20.8,2,0.2,6.5
3,1,0,287,33,44256,1,1,10,23.68,2,0.2,8.88
3,1,0,287,33,44256,1,0,4,452.45,5,0.5,-244.323
3,1,0,287,33,44256,1,2,13,62.982,3,0.4,-14.6958
3,1,0,287,33,44256,1,2,11,1188.0,9,0.7,-950.4
3,1,0,287,33,44256,1,2,0,89.584,2,0.2,4.4792
3,0,0,266,3,90032,3,1,14,93.06,6,0.0,26.0568
3,0,0,266,3,90032,3,2,13,302.376,3,0.2,22.6782
0,0,0,126,33,43017,1,1,8,5.584,2,0.2,1.8148
0,0,0,126,33,43017,1,1,12,22.704,6,0.2,8.2302
0,0,0,126,33,43017,1,1,3,19.776,4,0.7,-13.8432
0,0,0,126,33,43017,1,0,9,72.704,4,0.2,19.0848
0,0,0,126,33,43017,1,2,11,479.988,4,0.7,-383.9904
0,0,0,126,33,43017,1,1,2,27.168,2,0.2,2.7168
3,1,0,123,20,48227,0,1,2,2.2,1,0.0,0.968
3,1,0,123,20,48227,0,0,16,622.45,5,0.0,136.939
3,1,0,123,20,48227,0,1,14,21.98,1,0.0,0.2198
3,0,0,93,40,38401,2,0,5,161.568,2,0.2,-28.2744
3,0,0,93,40,38401,2,0,5,389.696,8,0.2,43.8408
3,1,0,74,31,28205,2,1,3,18.648,7,0.7,-12.432
3,2,0,473,8,33614,2,0,16,233.86,2,0.45,-102.048
3,2,0,473,8,33614,2,0,16,620.6145,3,0.45,-248.2458
3,2,0,473,8,33614,2,1,3,5.328,2,0.7,-3.552
3,2,0,473,8,33614,2,0,9,258.072,3,0.2,0.0
3,2,0,473,8,33614,2,2,0,617.976,3,0.2,-7.7247
3,1,0,448,3,95051,3,1,12,10.56,2,0.0,4.752
2,0,0,80,11,60610,0,1,12,25.92,5,0.2,9.396
2,0,0,80,11,60610,0,0,9,419.68,5,0.6,-356.728
2,0,0,80,11,60610,0,0,9,11.688,3,0.6,-4.6752
2,0,0,80,11,60610,0,2,13,31.984,2,0.2,11.1944
2,0,0,80,11,60610,0,0,16,177.225,5,0.5,-120.513
2,0,0,80,11,60610,0,0,9,4.044,3,0.6,-2.8308
2,0,0,80,11,60610,0,1,2,7.408,2,0.2,1.2038
2,2,0,239,21,55044,0,0,5,2001.86,7,0.0,580.5394
2,2,0,239,21,55044,0,1,14,166.72,2,0.0,41.68
2,2,0,239,21,55044,0,1,12,47.88,6,0.0,23.94
2,2,0,239,21,55044,0,1,1,1503.25,5,0.0,496.0725
2,2,0,239,21,55044,0,1,12,25.92,4,0.0,12.4416
2,0,0,438,3,94109,3,0,5,321.568,2,0.2,28.1372
3,0,0,437,3,92037,3,1,12,7.61,1,0.0,3.5767
3,0,0,437,3,92037,3,2,0,3347.37,13,0.0,636.0003
0,0,0,329,30,10024,1,1,14,80.58,6,0.0,22.5624
0,0,0,329,30,10024,1,1,7,361.92,4,0.0,162.864
3,1,0,80,11,60623,0,0,9,12.132,9,0.6,-8.4924
3,1,0,80,11,60623,0,1,14,82.368,2,0.2,-19.5624
3,1,0,80,11,60623,0,1,14,53.92,5,0.2,4.044
3,1,0,80,11,60623,0,2,13,647.904,6,0.2,56.6916
2,0,0,329,30,10009,1,2,0,20.37,3,0.0,6.9258
2,0,0,329,30,10009,1,1,14,221.55,3,0.0,6.6465
2,0,0,329,30,10009,1,1,3,17.52,5,0.2,6.132
3,1,0,364,41,77506,0,1,1,1.624,2,0.8,-4.466
2,1,0,207,41,77036,0,2,11,3059.982,3,0.4,-509.997
2,1,0,207,41,77036,0,2,11,2519.958,7,0.4,-251.9958
3,0,0,80,11,60610,0,2,13,328.224,4,0.2,28.7196
3,0,0,49,3,94513,3,2,0,79.9,2,0.0,35.156
3,1,0,73,31,27514,2,1,2,14.016,3,0.2,4.7304
3,0,0,314,28,7960,1,1,8,7.56,6,0.0,0.3024
3,1,0,83,33,45231,1,1,14,37.208,1,0.2,-7.4416
3,1,0,83,33,45231,1,1,7,57.576,3,0.2,21.591
2,1,0,438,3,94110,3,1,14,725.84,4,0.0,210.4936
0,0,0,438,3,94109,3,2,0,209.93,7,0.0,92.3692
0,0,0,438,3,94109,3,0,9,5.28,3,0.0,2.3232
0,0,0,438,3,94109,3,1,3,10.92,3,0.2,4.095
0,1,0,212,3,90301,3,1,12,8.82,2,0.0,4.0572
0,1,0,212,3,90301,3,1,2,5.98,1,0.0,1.5548
3,1,0,374,36,19140,1,1,12,11.648,2,0.2,4.0768
3,1,0,374,36,19140,1,1,12,18.176,4,0.2,5.9072
3,1,0,374,36,19140,1,1,14,59.712,6,0.2,5.9712
3,1,0,374,36,19140,1,1,10,24.84,3,0.2,8.694
2,0,0,207,41,77070,0,1,3,2.08,5,0.8,-3.432
2,0,0,207,41,77070,0,2,13,1114.4,7,0.2,376.11
3,0,0,266,3,90004,3,0,16,1038.84,5,0.2,51.942
3,0,0,389,35,97206,3,1,12,141.76,5,0.2,47.844
3,0,0,389,35,97206,3,2,0,239.8,5,0.2,47.96
3,0,0,389,35,97206,3,1,12,31.104,6,0.2,10.8864
2,1,0,472,8,33319,2,1,3,254.058,7,0.7,-169.372
2,1,0,472,8,33319,2,1,1,194.528,2,0.2,24.316
2,1,0,472,8,33319,2,1,15,961.48,5,0.2,-204.3145
2,2,0,94,33,43229,1,1,8,19.096,7,0.2,6.6836
2,2,0,94,33,43229,1,1,10,18.496,8,0.2,6.2424
2,2,0,94,33,43229,1,2,0,255.984,2,0.2,54.3966
2,2,0,94,33,43229,1,0,4,86.97,3,0.5,-48.7032
0,1,0,92,4,80906,3,0,9,300.416,8,0.2,78.8592
0,1,0,92,4,80906,3,0,5,230.352,3,0.2,20.1558
0,1,0,92,4,80906,3,0,9,218.352,3,0.2,-24.5646
0,1,0,92,4,80906,3,1,3,78.6,5,0.7,-62.88
0,1,0,92,4,80906,3,1,8,27.552,3,0.2,9.2988
3,1,0,35,28,7109,1,1,12,32.4,5,0.0,15.552
3,1,0,35,28,7109,1,1,14,1082.48,8,0.0,10.8248
3,1,0,35,28,7109,1,1,12,56.91,3,0.0,27.3168
3,1,0,35,28,7109,1,0,9,77.6,4,0.0,38.024
3,1,0,35,28,7109,1,1,3,14.28,1,0.0,6.5688
3,0,0,80,11,60623,0,0,16,219.075,3,0.5,-131.445
2,1,0,329,30,10024,1,0,9,26.8,2,0.0,12.864
3,1,0,474,20,48180,0,1,2,9.84,3,0.0,2.8536
3,2,0,240,28,8701,1,1,3,45.48,3,0.0,20.9208
3,2,0,240,28,8701,1,1,2,289.2,6,0.0,83.868
0,0,0,16,44,22204,2,1,2,4.89,1,0.0,2.0049
2,1,0,18,4,80004,3,0,9,15.136,4,0.2,3.5948
2,1,0,18,4,80004,3,0,5,466.768,2,0.2,52.5114
2,1,0,18,4,80004,3,0,9,15.232,1,0.2,1.7136
2,1,0,18,4,80004,3,1,10,6.264,3,0.2,2.0358
3,1,0,184,28,7601,1,0,9,87.54,3,0.0,37.6422
3,1,0,429,8,33710,2,2,13,178.384,2,0.2,22.298
3,1,0,429,8,33710,2,1,12,15.552,3,0.2,5.4432
0,1,0,374,36,19143,1,1,2,99.136,4,0.2,8.6744
3,2,0,329,30,10024,1,0,5,135.882,1,0.1,24.1568
3,2,0,329,30,10024,1,2,11,3991.98,2,0.0,1995.99
3,2,0,329,30,10024,1,2,13,275.94,6,0.0,80.0226
3,2,0,329,30,10024,1,2,0,360.0,4,0.0,129.6
3,2,0,329,30,10024,1,1,14,43.57,1,0.0,13.071
3,1,0,262,3,90805,3,1,8,7.16,2,0.0,3.58
3,1,0,196,3,92345,3,1,3,251.52,6,0.2,81.744
3,1,0,196,3,92345,3,2,0,99.99,1,0.0,34.9965
2,1,0,317,40,37130,2,0,9,15.992,1,0.2,0.9995
0,0,0,374,36,19143,1,2,13,290.898,3,0.4,-67.8762
0,0,0,374,36,19143,1,1,14,54.224,2,0.2,3.389
0,0,0,374,36,19143,1,0,5,786.744,4,0.3,-258.5016
0,0,0,374,36,19143,1,1,10,100.24,10,0.2,33.831
0,0,0,374,36,19143,1,1,3,37.764,6,0.7,-27.6936
2,0,0,374,36,19134,1,2,13,82.8,2,0.4,-20.7
2,0,0,374,36,19134,1,1,3,20.724,2,0.7,-13.816
2,0,0,374,36,19134,1,1,3,4.896,3,0.7,-3.4272
2,0,0,266,3,90045,3,1,3,4.752,1,0.2,1.6038
2,0,0,266,3,90045,3,2,6,959.984,2,0.2,335.9944
2,0,0,266,3,90045,3,1,3,14.368,4,0.2,4.49
3,1,0,438,3,94122,3,1,3,7.712,2,0.2,2.7956
3,1,0,438,3,94122,3,0,16,698.352,3,0.2,-17.4588
2,0,0,249,42,84041,3,1,8,4.96,4,0.0,2.3312
2,1,0,374,36,19140,1,1,2,17.856,4,0.2,1.116
2,1,0,374,36,19140,1,1,3,509.97,10,0.7,-407.976
2,1,0,374,36,19140,1,1,8,30.992,13,0.2,10.0724
2,1,0,374,36,19140,1,2,13,71.928,12,0.4,8.3916
3,0,0,25,41,78745,0,1,14,88.8,4,0.2,-2.22
3,0,0,438,3,94122,3,2,13,47.976,3,0.2,4.7976
3,0,0,269,19,1852,1,1,2,7.56,3,0.0,3.0996
3,0,0,269,19,1852,1,1,12,24.56,2,0.0,11.5432
3,0,0,269,19,1852,1,1,2,12.96,2,0.0,4.1472
0,2,0,329,30,10009,1,2,0,6.79,1,0.0,2.3086
0,2,0,329,30,10009,1,1,12,24.56,2,0.0,11.5432
0,2,0,329,30,10009,1,1,3,3.048,1,0.2,1.0668
0,2,0,329,30,10009,1,1,12,49.12,4,0.0,23.0864
0,2,0,329,30,10009,1,1,3,4355.168,4,0.2,1415.4296
3,0,0,329,30,10035,1,0,4,388.704,6,0.2,-4.8588
3,0,0,329,30,10035,1,1,7,8.26,2,0.0,3.7996
3,0,0,329,30,10035,1,1,2,17.04,4,0.0,6.9864
3,0,0,329,30,10035,1,1,12,34.4,5,0.0,15.824
3,1,0,74,31,28205,2,1,12,36.24,5,0.2,11.325
0,1,0,94,9,31907,2,1,1,647.84,8,0.0,168.4384
0,1,0,94,9,31907,2,1,10,20.7,2,0.0,9.936
3,0,0,329,30,10009,1,1,10,20.7,2,0.0,9.936
3,0,0,329,30,10009,1,0,5,488.646,3,0.1,86.8704
3,0,0,329,30,10009,1,1,2,5.56,2,0.0,1.4456
3,0,0,329,30,10009,1,0,9,47.12,8,0.0,20.7328
3,0,0,438,3,94109,3,1,14,211.96,4,0.0,8.4784
1,1,0,274,5,6040,1,1,3,23.2,4,0.0,10.44
1,1,0,274,5,6040,1,1,15,7.36,2,0.0,0.1472
1,1,0,274,5,6040,1,1,14,104.79,7,0.0,29.3412
1,1,0,274,5,6040,1,0,4,1043.92,4,0.0,271.4192
3,0,0,189,41,78550,0,1,12,25.92,5,0.2,9.396
3,0,0,189,41,78550,0,1,14,53.424,3,0.2,4.6746
3,0,0,489,1,85705,3,1,3,8.16,5,0.7,-5.712
3,0,0,489,1,85705,3,2,0,1023.936,8,0.2,179.1888
3,0,0,489,1,85705,3,1,2,9.24,1,0.2,0.924
3,0,0,489,1,85705,3,2,0,479.04,10,0.2,-29.94
0,1,0,393,11,62301,0,1,12,99.136,4,0.2,30.98
3,1,0,156,19,2038,1,0,16,1488.424,7,0.3,-297.6848
3,0,0,207,41,77095,0,1,1,8.652,3,0.8,-20.3322
3,0,0,207,41,77095,0,1,14,23.832,3,0.2,2.6811
3,0,0,207,41,77095,0,1,3,12.176,4,0.8,-18.8728
0,1,0,438,3,94109,3,1,12,50.96,7,0.0,25.48
0,1,0,438,3,94109,3,1,3,49.536,3,0.2,17.3376
2,1,0,474,20,48180,0,2,0,41.9,2,0.0,8.799
3,0,0,369,8,33024,2,0,16,375.4575,3,0.45,-157.0095
3,0,0,369,8,33024,2,2,0,83.976,3,0.2,-1.0497
3,1,0,374,36,19140,1,2,11,482.34,4,0.7,-337.638
3,1,0,374,36,19140,1,0,9,2.96,1,0.2,0.777
0,0,0,83,33,45231,1,1,2,2.624,1,0.2,0.4264
3,0,0,329,30,10009,1,1,3,23.36,4,0.2,7.884
3,0,0,329,30,10009,1,2,0,39.98,2,0.0,13.5932
2,0,0,121,45,98198,3,2,13,246.384,2,0.2,27.7182
2,0,0,121,45,98198,3,2,6,1799.97,3,0.0,701.9883
2,1,0,371,11,61604,0,1,3,12.462,3,0.8,-20.5623
3,2,0,245,26,89115,3,1,3,75.792,3,0.2,25.5798
2,1,0,504,37,2886,1,1,14,49.96,2,0.0,9.4924
2,1,0,504,37,2886,1,1,12,12.96,2,0.0,6.2208
3,2,0,215,20,49201,0,1,15,70.12,4,0.0,21.036
2,0,0,207,41,77036,0,1,14,35.952,3,0.2,3.5952
2,0,0,207,41,77036,0,0,4,2396.2656,4,0.32,-317.1528
2,0,0,207,41,77036,0,1,14,131.136,4,0.2,-32.784
2,0,0,207,41,77036,0,2,0,57.584,2,0.2,0.7198
0,0,0,295,8,33180,2,1,12,9.568,2,0.2,3.4684
3,1,0,521,31,28403,2,1,2,39.072,6,0.2,9.768
3,0,0,329,30,10024,1,1,1,35.91,3,0.0,9.6957
3,0,0,438,3,94110,3,2,0,179.95,5,0.0,37.7895
3,0,0,438,3,94110,3,2,6,1199.976,3,0.2,434.9913
3,0,0,438,3,94110,3,1,12,27.15,5,0.0,13.3035
